startX,startY,startZ,endX,endY,endZ,startRadius,endRadius,startDepth,endDepth
-25695.373,-60362.793,0,-25555.14,-60220.664,0,211.49548,211.76546,48.6203,51.721775
-25555.14,-60220.664,0,-25403.336,-60061.14,0,211.76546,212.53983,51.721775,56.592285
-25403.336,-60061.14,0,-25235.326,-59896.188,0,212.53983,214.05466,56.592285,63.043774
-25235.326,-59896.188,0,-25057.662,-59725.57,0,214.05466,216.43398,63.043774,70.9892
-25057.662,-59725.57,0,-24885.86,-59539.402,0,216.43398,219.68118,70.9892,80.17673
-24885.86,-59539.402,0,-24736.299,-59326.793,0,219.68118,223.71278,80.17673,89.75479
-24736.299,-59326.793,0,-24616.91,-59086.066,0,223.71278,228.35605,89.75479,98.0798
-24616.91,-59086.066,0,-24522.117,-58830.164,0,228.35605,233.30869,98.0798,103.1949
-24522.117,-58830.164,0,-24435.059,-58584.3,0,233.30869,238.18416,103.1949,104.49979
-24435.059,-58584.3,0,-24336.037,-58376.727,0,238.18416,242.66302,104.49979,103.475426
-24336.037,-58376.727,0,-24212.465,-58228.035,0,242.66302,246.5823,103.475426,101.99581
-24212.465,-58228.035,0,-24064.795,-58144.62,0,246.5823,249.87802,101.99581,100.79419
-24064.795,-58144.62,0,-23905.209,-58120.184,0,249.87802,252.4973,100.79419,99.70405
-23905.209,-58120.184,0,-23750.021,-58143.93,0,252.4973,254.3912,99.70405,98.43409
-23750.021,-58143.93,0,-23610.389,-58210.67,0,254.3912,255.52306,98.43409,96.907616
-23610.389,-58210.67,0,-23486.744,-58326.84,0,255.52306,255.80153,96.907616,95.08084
-23486.744,-58326.84,0,-23364.307,-58462.01,0,255.80153,255.14633,95.08084,92.57107
-23364.307,-58462.01,0,-23234.92,-58594.324,0,255.14633,254.26619,92.57107,89.44649
-23234.92,-58594.324,0,-23114.613,-58736.12,0,254.26619,252.96169,89.44649,86.215965
-23114.613,-58736.12,0,-23011.992,-58893.742,0,252.96169,251.16666,86.215965,83.175674
-23011.992,-58893.742,0,-22922.168,-59062.57,0,251.16666,249.00835,83.175674,80.37423
-22922.168,-59062.57,0,-22828.652,-59228.62,0,249.00835,246.75957,80.37423,77.749435
-22828.652,-59228.62,0,-22712.467,-59375.895,0,246.75957,244.68248,77.749435,75.158165
-22712.467,-59375.895,0,-22563.367,-59495.44,0,244.68248,242.85965,75.158165,72.33714
-22563.367,-59495.44,0,-22386.74,-59590.996,0,242.85965,241.17105,72.33714,69.180725
