startX,startY,startZ,endX,endY,endZ,startRadius,endRadius
-133940.2,-125985.13,0,-133969.38,-126124.98,0,457.35132,452.27728
-133935.16,-125827.15,0,-133940.2,-125985.13,0,459.12576,457.35132
-130488.54,-126355.234,0,-130397.22,-126220.94,0,101.60049,110.93056
-130397.22,-126220.94,0,-130320.21,-126095.33,0,110.93056,118.20203
-130320.21,-126095.33,0,-130248.34,-125979.54,0,118.20203,120.73998
-130248.34,-125979.54,0,-130157.43,-125874.695,0,120.73998,121.1316
-130157.43,-125874.695,0,-130004.57,-125744.016,0,121.1316,121.44256
-130004.57,-125744.016,0,-129847.99,-125607.26,0,121.44256,124.89778
-129847.99,-125607.26,0,-129695.18,-125458.48,0,124.89778,130.49782
-129695.18,-125458.48,0,-129541.19,-125305.5,0,130.49782,132.63979
-129541.19,-125305.5,0,-129372.22,-125165.89,0,132.63979,125.85934
-129372.22,-125165.89,0,-129175.24,-125056.37,0,125.85934,110.4618
-129175.24,-125056.37,0,-128947.9,-124981.875,0,110.4618,93.78834
-128947.9,-124981.875,0,-128703,-124930.695,0,93.78834,85.4966
-128703,-124930.695,0,-128464.62,-124878.6,0,85.4966,90.46473
-128464.62,-124878.6,0,-128258.08,-124800.04,0,90.46473,105.1323
-128258.08,-124800.04,0,-128099.25,-124679.89,0,105.1323,120.29509
-128099.25,-124679.89,0,-127989.06,-124519.47,0,120.29509,127.98315
-127989.06,-124519.47,0,-127916.32,-124333.484,0,127.98315,126.74452
-127916.32,-124333.484,0,-127866.9,-124139.86,0,126.74452,121.25122
-127866.9,-124139.86,0,-127833.78,-123948.67,0,121.25122,117.15072
-127833.78,-123948.67,0,-127822.305,-123756.42,0,117.15072,116.06492
-127822.305,-123756.42,0,-127820.86,-123635.31,0,116.06492,116.82903
-127820.86,-123635.31,0,-127803.7,-123513.78,0,116.82903,114.48211
-127803.7,-123513.78,0,-127768.24,-123391.81,0,114.48211,110.365456
-127768.24,-123391.81,0,-127726.33,-123269.664,0,110.365456,110.25106
-127726.33,-123269.664,0,-127698.875,-123147.76,0,110.25106,119.44492
-127698.875,-123147.76,0,-127704.195,-123026.484,0,119.44492,137.12907
-127704.195,-123026.484,0,-127746.96,-122905.984,0,137.12907,155.27795
-127746.96,-122905.984,0,-127814.35,-122785.99,0,155.27795,163.77658
-127814.35,-122785.99,0,-127881.664,-122666.07,0,163.77658,157.92436
-127881.664,-122666.07,0,-127924.66,-122545.766,0,157.92436,142.15501
-127924.66,-122545.766,0,-127931.66,-122424.87,0,142.15501,126.76938
-127931.66,-122424.87,0,-127908.61,-122303.5,0,126.76938,120.31189
-127908.61,-122303.5,0,-127874.52,-122182.1,0,120.31189,123.86236
-127874.52,-122182.1,0,-127850.16,-122061.08,0,123.86236,131.75296
-127850.16,-122061.08,0,-127846.62,-121940.67,0,131.75296,137.5808
-127846.62,-121940.67,0,-127860.45,-121820.86,0,137.5808,139.85481
-127860.45,-121820.86,0,-127879.36,-121700.48,0,139.85481,138.49854
-127879.36,-121700.48,0,-127902.445,-121576.29,0,138.49854,136.92522
-127902.445,-121576.29,0,-127938.5,-121450.7,0,136.92522,140.5211
-142862.73,-119968.89,0,-142696.58,-120002.125,0,521.98334,513.41113
-143038.12,-119923.53,0,-142862.73,-119968.89,0,544.0328,521.98334
-143218,-119864.586,0,-143038.12,-119923.53,0,558.6813,544.0328
-143382.5,-119778.914,0,-143218,-119864.586,0,539.5741,558.6813
-143507.64,-119650.18,0,-143382.5,-119778.914,0,479.8365,539.5741
-143580.02,-119470.21,0,-143507.64,-119650.18,0,403.08603,479.8365
-143606.08,-119246.25,0,-143580.02,-119470.21,0,349.27713,403.08603
-143611.19,-119000.15,0,-143606.08,-119246.25,0,345.95267,349.27713
-143627.9,-118759.33,0,-143611.19,-119000.15,0,388.30856,345.95267
-143680.8,-118545.01,0,-143627.9,-118759.33,0,444.15594,388.30856
-143775.64,-118363.91,0,-143680.8,-118545.01,0,478.94324,444.15594
-142696.58,-120002.125,0,-142527.75,-120011.8,0,513.41113,517.56177
-142527.75,-120011.8,0,-142380.45,-120004.96,0,517.56177,508.46225
-142380.45,-120004.96,0,-142228.86,-120000.27,0,508.46225,490.56647
-142228.86,-120000.27,0,-142074.2,-119992.414,0,490.56647,481.2223
-142074.2,-119992.414,0,-141918.1,-119967.83,0,481.2223,501.04935
-141918.1,-119967.83,0,-141761.98,-119914.42,0,501.04935,550.71545
-141761.98,-119914.42,0,-141606.89,-119831.2,0,550.71545,603.35974
-141606.89,-119831.2,0,-141453.17,-119731.98,0,603.35974,621.59375
-141453.17,-119731.98,0,-141300.7,-119640.79,0,621.59375,586.10004
-141300.7,-119640.79,0,-141149.36,-119581.266,0,586.10004,511.9235
-141149.36,-119581.266,0,-140999.53,-119565.97,0,511.9235,438.3968
-143899.28,-118208.06,0,-143775.64,-118363.91,0,479.75342,478.94324
-144029.78,-118062.72,0,-143899.28,-118208.06,0,459.37878,479.75342
-144150.6,-117917.27,0,-144029.78,-118062.72,0,439.5992,459.37878
-144260.52,-117773.055,0,-144150.6,-117917.27,0,430.40588,439.5992
-144325.22,-117671.93,0,-144260.52,-117773.055,0,433.70392,430.40588
-144376.27,-117565.04,0,-144325.22,-117671.93,0,444.70367,433.70392
-144425.64,-117453.375,0,-144376.27,-117565.04,0,473.73895,444.70367
-144478.39,-117337.63,0,-144425.64,-117453.375,0,511.88928,473.73895
-144528.89,-117218.17,0,-144478.39,-117337.63,0,532.84326,511.88928
-144563.73,-117095.07,0,-144528.89,-117218.17,0,513.2607,532.84326
-144569.36,-116968.38,0,-144563.73,-117095.07,0,454.8312,513.2607
-144540.58,-116838.46,0,-144569.36,-116968.38,0,388.02853,454.8312
-144484.6,-116706.125,0,-144540.58,-116838.46,0,352.31964,388.02853
-144418.58,-116572.53,0,-144484.6,-116706.125,0,367.85513,352.31964
-144361.88,-116438.88,0,-144418.58,-116572.53,0,421.59296,367.85513
-144327.11,-116306.22,0,-144361.88,-116438.88,0,479.05023,421.59296
-144315.56,-116175.086,0,-144327.11,-116306.22,0,511.36432,479.05023
-144318.84,-116045.77,0,-144315.56,-116175.086,0,514.7936,511.36432
-144325.83,-115918.39,0,-144318.84,-116045.77,0,507.17795,514.7936
-144330.8,-115793.32,0,-144325.83,-115918.39,0,506.60605,507.17795
-146569.73,-109190.87,0,-146581.58,-109378.26,0,422.74744,418.78436
-146523.94,-109015.25,0,-146569.73,-109190.87,0,433.75696,422.74744
-140999.53,-119565.97,0,-140852.31,-119591.72,0,438.3968,400.72882
-140852.31,-119591.72,0,-140709.4,-119643.234,0,400.72882,406.38593
-140709.4,-119643.234,0,-140572.52,-119703.21,0,406.38593,434.61346
-140572.52,-119703.21,0,-140442.98,-119762.664,0,434.61346,457.3471
-140442.98,-119762.664,0,-140321.61,-119825.914,0,457.3471,462.12088
-140321.61,-119825.914,0,-140208.69,-119907.39,0,462.12088,457.51178
-140208.69,-119907.39,0,-140077.2,-120019.41,0,457.51178,458.82443
-140077.2,-120019.41,0,-139934.55,-120118.92,0,458.82443,472.02408
-139934.55,-120118.92,0,-139777.06,-120201.805,0,472.02408,493.86334
-139777.06,-120201.805,0,-139612.19,-120276.42,0,493.86334,503.3386
-139612.19,-120276.42,0,-139455.39,-120360.18,0,503.3386,479.23395
-139455.39,-120360.18,0,-139321.8,-120470.16,0,479.23395,421.72433
-139321.8,-120470.16,0,-139217.38,-120613.08,0,421.72433,357.95602
-139217.38,-120613.08,0,-139134.78,-120780.586,0,357.95602,324.78906
-139134.78,-120780.586,0,-139056.36,-120952.76,0,324.78906,341.801
-139056.36,-120952.76,0,-138963.05,-121107.96,0,341.801,396.63452
-138963.05,-121107.96,0,-138843.75,-121233.664,0,396.63452,454.7704
-138843.75,-121233.664,0,-138700.47,-121332.11,0,454.7704,485.41415
-138700.47,-121332.11,0,-138546.11,-121417.87,0,485.41415,482.09305
-128361.61,-120714.47,0,-128359.14,-120587.74,0,123.28816,110.89288
-128359.14,-120587.74,0,-128335.375,-120462.516,0,110.89288,112.69173
-128330.55,-120839.81,0,-128361.61,-120714.47,0,145.08624,123.28816
-127938.5,-121450.7,0,-127996.66,-121326.09,0,140.5211,151.60689
-127996.66,-121326.09,0,-128078.41,-121203.75,0,151.60689,165.34238
-128078.41,-121203.75,0,-128173.81,-121083.16,0,165.34238,172.08067
-128173.81,-121083.16,0,-128264.26,-120962.484,0,172.08067,164.7448
-128264.26,-120962.484,0,-128330.55,-120839.81,0,164.7448,145.08624
-128335.375,-120462.516,0,-128305.266,-120342.1,0,112.69173,124.07955
